company_name,tier,contact_name,email,phone,website,city_state_zip,country,products_summary,product_codes,has_potting_products,source,extracted_date
SIA PINDSTRUP LATVIA,Tier 3 - Other Soil/Media,Joachim Lassen,jhl@pindstrup.com,+4589747489,www.pindstrup.com,,,"Pindstrup Green Forest Gold  (pim- 16599), Pindstrup Green Peat Moss Gold (pim- 16620)",,False,OMRI Products List,2026-02-05
SUGA COCO PRODUCTS PRIVATE,Tier 3 - Other Soil/Media,LIMITED,suga@sugacoco.com,,www.sugacoco.com,"COIMBATORE, TAMILNADU  642003",India,SUGA COCO COIR PITH (sue-13360),sue-13360,False,OMRI Products List,2026-02-05
Sai Substrates Private Limited,Tier 3 - Other Soil/Media,A Santhanam,santhanam@incoconut.com,+914512424645,www.saisubstrates.com,,India,Sai Substrates Growing Solutions Sai Substrates - Natural (sab-5292),sab-5292,False,OMRI Products List,2026-02-05
Sivanthi Joe Group,Tier 3 - Other Soil/Media,K. Sivakar,sivakar@sivanthijoecoirs.com,+914612264415,www.sivanthijoecoirs.com,,India,Sivanthi Joe Group Sivanthi Organic Coco Coir (sjg-6315),sjg-6315,False,OMRI Products List,2026-02-05
Southern Trident Limited,Tier 3 - Other Soil/Media,Balaji Manoharan,balaji@southerntrident.com,,www.southerntrident.com,,,Coco & Coir Little Big Compost Coco Coir (stt-20277),stt-20277,False,OMRI Products List,2026-02-05
Sphagnum Peat Moss Professional Grade,Tier 3 - Other Soil/Media,,,,,,,,,False,OMRI Products List,2026-02-05
Sunterra Horticulture (Canada) Inc.,Tier 3 - Other Soil/Media,Jeff Langner,jlangner@profileproducts.com,+18472153427,,"Buffalo Grove, IL  60089",United States,"Sunterra Horticulture ProfilePeat: Professional Fine Grade (suh-2335), Sunterra Horticulture ProfilePeat: Professional Grower Grade (suh-2334), Sunterra Horticulture Select Grade Peat Moss (suh-6360)","suh-2335, suh-2334, suh-6360",False,OMRI Products List,2026-02-05
THE COCO CORE LLC,Tier 3 - Other Soil/Media,GOWTHAM VELU,info@thecococore.com,,www.thecococore.com,,United States,COCO CORE COCO PEAT (tha-22129),tha-22129,False,OMRI Products List,2026-02-05
"The Andersons, Inc",Tier 3 - Other Soil/Media,Chuck Anderson,chuck_anderson@andersonsinc.com,+18002252639,www.andersonsplantnutrient.com,"Maumee, OH  43537",United States,"Biochar-DG (and-14236), Biomend 10-0-6 (and-12651) l, Black Gypsum DG Humic Solutions Soil Amendments (and-7634), DG Lite OP (and-11023) l, EcoGranule HW OP (and-12520), EcoGranule HW OP (and- 17624),","and-14236, and-12651, and-7634, and-11023, and-12520, and-13421, and-14066, and-5758, and-13909, and-14074, and-14298, and-18526, and-12325, and-8413, and-11189, and-18880, and-7528, and-20368, and-12661, and-4985, and-4662, and-3299, and-13238",False,OMRI Products List,2026-02-05
Timberfiber LLC,Tier 3 - Other Soil/Media,Andrew Mondi,amondi@timberfiber.com,+15127663696,www.timberfiber.com,,United States,"Ground wood substrate (tld-19393), Sunfiber (tld-21278)","tld-19393, tld-21278",False,OMRI Products List,2026-02-05
"True Leaf, LLC",Tier 3 - Other Soil/Media,True Leaf Market,support@trueleafmarket.com,+18014918700,www.trueleafmarket.com,"Salt Lake City, UT  84115",United States,"Handy Pantry - Jute Fiber Hydroponic Grow Medium - 10x20 Mats (lwf- 15633), Handy Pantry Azomite Organic Trace Mineral Fertilizer (lwf-5410), Mountain Valley Seed Co. Minute Soil Expanding Coconut Coi","lwf-5410, lwf-11174, lwf-11321, lwf-11322, lwf-20877, lwf-20361, lwf-22472",False,OMRI Products List,2026-02-05
Truecoirs LLC,Tier 3 - Other Soil/Media,,info@Truecoirs.com,+17744378591,,,United States,TrueCoirs 100% Natural Coco Coir Pith Growing Medium (tlb-18118),tlb-18118,False,OMRI Products List,2026-02-05
VAIGHAI AGRO PRODUCTS LIMITED,Tier 3 - Other Soil/Media,POUNRAJ KULANDAIVEL,pounraj@vaighai.com,+914522532515,www.vaighai.com,"MADURAI, TAMILNADU  625020",India,Gro-Med Coco Peat LEC (vai-22168) OMRI Products List Crop Products by Company 197,vai-22168,False,OMRI Products List,2026-02-05
Via Satellite Exporters and Importers,Tier 3 - Other Soil/Media,Raffy  Sahibjan,fathimazahra1981@gmail.com,,,,India,Royal Coco Peat Coco Premium (vse-15555),vse-15555,False,OMRI Products List,2026-02-05
Waterglider LLC,Tier 3 - Other Soil/Media,Sean McLaughlin,sean@watergliderint.com,+15092423390,,"Spokane Valley, WA  99216",United States,MagJo Naturals Coco Peat (wll- 18313),,False,OMRI Products List,2026-02-05
"WeCare Denali, LLC",Tier 3 - Other Soil/Media,Ryan Cerrato,ryan.cerrato@denaliwater.com,+14792391920,www.denalicorp.com,,United States,"WeCare Denali Organic Soil (wcd- 12267), WeCare Denali WeCare Compost (wcd-15857), WeCare Denali WeCare Compost Coarse (wcd-16014), WeCare Denali WeCare Compost Fine (wcd-16013)","wcd-15857, wcd-16014, wcd-16013",False,OMRI Products List,2026-02-05
Wildspore Mushrooms LLC.,Tier 3 - Other Soil/Media,Darek Bell,d@wildspore.farm,+16153519442,,,United States,"WildSpore Mushrooms CVG Substrate Coco coir. Vermiculite. Gypsum. (wmb-19781), Wildspore Sterilized Rye Spawn Bags (wmb-20876)","wmb-19781, wmb-20876",False,OMRI Products List,2026-02-05
"Xi'an CityMax Agrochemical Co., Ltd.",Tier 3 - Other Soil/Media,Vivi Lee,vivi@citymax-agro.com,+862989286649,,,China,"CITYMAX AminoBio85 (xcm-21318), CITYMAX FulviPower95 (xcm-20726), CITYMAX FulvoMax (xcm-6144), CITYMAX Max AminoN16 (xcm-13089), CITYMAX Max Black Pearl Humic Acid for Soil Application ORGANIC SOIL CO","xcm-21318, xcm-20726, xcm-6144, xcm-13089, xcm-16608, xcm-4984, xcm-8601, xcm-21642, xcm-6316, xcm-5894, xcm-5868",False,OMRI Products List,2026-02-05
Xpert Nutrients,Tier 3 - Other Soil/Media,Toma Donev,,+34604438860,www.xpertnutrients.com,,,XPert Nutrients CoconuX Ready- To-Use Coco Coir (xna-19150),xna-19150,False,OMRI Products List,2026-02-05
